lot_sale_year,auction_house,title,artist_name,object_type,pounds
1859,Phillips (Harry),"L'Umana Fragilita.     A strange but wonderfully imaginative composition, painted in a masterly spirit, and with an elaboration of detail not unusually met with in emblematical subjects, and the colouring of a full, deep, and mellow tone.  This picture formerly adorned the walls of the Ghigi Palace at Rome; and is thus described in Lady Morgan's Life and Times of Salvator Rosa, where we are told the picture was purchased from Salvator Rosa by Don Maria Ghigi, brother to Pope Alexander VII.;-- L'Umana Fragilita represents a beautiful girl seated on a glass globe; her brow was crowned with flowers, the fairest and the frailest; her arm was filled by a lone infant, which she appeared to caress, while its twin brother, cradled at her feet, was occupied in blowing air-bubbles from a tube; a child somewhat older, was mischievously employed in setting fire to a wreath of flax twined round a spindle; above this group of blooming youth and happy infancy, with wings outspread (spennachiate) and threatening aspect,, hovered the grim figure of death, dictating the following sentence 'Conceptio culpa, nasci poena, vita labor, necosse mori.'  The label affixed to this painted allegory called the picture L'Umanita Fragilita.",Salvator Rosa,Painting,346
1859,Phillips (Harry),The Meeting of Mary and Elizabeth.,P. da Cortona,Painting,16
1859,Phillips (Harry),"Holy Family with St. Philip and St. Anthony, and St. Sebastian.  In the foreground is the Virgin, seated on a block of stone, in front of a column; the Infant Christ is on her lap, and bends forward to caress the little St. John, who kneels by the side of the Virgin; to the left of the picture are St. Anthony, and St. Philip with his Cross -- on the right, St. Joseph, and St. Sebastian pierced with arrows; above is a choir of Angels.  From Mr. Solly's collection.",Bagnacavallo,Painting,45
1859,Phillips (Harry),Milton dictating his Paradise Lost.,Nash,Drawing,51
1859,Phillips (Harry),The Annunciation.,Sebastiano Gomez,Painting,21
1859,Phillips (Harry),The Wood.  Nymph chanting her Hymn to the Rising Sun.,"J. Danby, R.A.",Painting,378
1859,Phillips (Harry),"An upright Landscape, with a group of cattle and figures in the foreground.",Solemaker,Painting,38
1859,Phillips (Harry),View of Windsor Castle.      The celebrated picture painted for Lord Northwick.,Patrick Nasmyth,Painting,588
1859,Phillips (Harry),"A grand Landscape, wit the Death of Adonis.",Albano,Painting,40
1859,Phillips (Harry),The Disgrace of Clarendon.,"E.M. Ward, R.A.",Painting,845
1859,Phillips (Harry),"Scene on the Canal, Venice.",Canaletto,Painting,45
1859,Phillips (Harry),"Melchisedec bringing Bread and Wine to Abraham, on his return from the Slaughter of the Chedarlaomer.    A pasticcio in the manner of Rubens.",Teniers,Painting,48
1859,Phillips (Harry),"The Holy Family.  The Virgin is seated near a bower, with the Infant Saviour in her lap, whom St. John is amusing with a bird attached to a string.  St. Elizabeth is on the left of the Virgin, with one hand round the Infant St. John.  St. Joseph stands behind, leaning against the trunk of a tree.     The beautiful work is engraved by Bolswert.",P.P. Rubens,Painting,117
1859,Phillips (Harry),The Doge's Palace at Venice.,Marieschi,Painting,25
1859,Phillips (Harry),The Virgin and Child.,Luini (after),Painting,31
1859,Phillips (Harry),The Virgin and Child.,Fiesole (School),Painting,25
1859,Phillips (Harry),The Companion Picture.,Old Crome,Painting,14
1859,Phillips (Harry),A Landscape with figures by D. Teniers.,Arthois,Painting,39
1859,Phillips (Harry),A full length Portrait of a Gentleman in black.,G. Terburg,Painting,68
1859,Phillips (Harry),Pope Paul the Fifth.,Tintoretto,Painting,15
1859,Phillips (Harry),Portrait of a Nobleman in a black dress.,Bronzino,Painting,49
1859,Phillips (Harry),St. Mark reading.,Juannes,Painting,21
1859,Phillips (Harry),The Virgin and Child.,C. da Sesto,Painting,15
1859,Phillips (Harry),The Companion Picture.,S. Rosa,Painting,38
1859,Phillips (Harry),"A Lady, in a brown dress; believed to be a portrait of herself.",Lavinia,Painting,15
1859,Phillips (Harry),Susannah and the Elders.,Domenichino,Painting,31
1859,Phillips (Harry),The Magdalen in the Desert.,F. Mola,Painting,17
1859,Phillips (Harry),"Portraits of the Emperor Charles I., allegorically treated --he is represented in armour, holding a sceptre, and leaning on a globe, which a cupid holds before him.",Rubens,Painting,42
1859,Phillips (Harry),St. Jerome awoke from his meditations by an Angel.     A noble gallery picture.  The subject is etched by the artist.,Spagnoletto,Painting,29
1859,Phillips (Harry),An Interior -- Boors Regaling.,Jan Steen,Painting,16
1859,Phillips (Harry),"The Woman taken in Adultery.      The precise moment seized by the painter appears to be that described by the Evangelist, when the Saviour lifted up himself, and said unto them, he that is without sin among you, let him first cast a stone at her.",Giorgione,Painting,84
1859,Phillips (Harry),"Portrait of Charles I. in his robes, small whole length.",Old Stone,Painting,26
1859,Phillips (Harry),A Classical Landscape and figures.,G. Poussin,Painting,31
1859,Phillips (Harry),"Portrait of Bartolomeo Bianchini, in a black dress and cap, in his hand an open letter.     A very rare and beautiful portrait.",Raffaelle,Painting,99
1859,Phillips (Harry),His own Portrait.,Antonello de Messina,Painting,82
1859,Phillips (Harry),Portrait of the Earl of Caernarvon.,C. Jansen,Painting,16
1859,Phillips (Harry),Christ crowned with Thorns.,Morales,Painting,19
1839,Christie's,Mary with two angels lamenting over the dead body of Christ,A. Del Sarto,Painting,6
1839,Christie's,A landscape -- oval,Claude,Painting,4
1839,Christie's,A shipwreck off a rocky coast,Morland,Painting,2
1840,Artaria (Henry),An Interior of a Corps de Garde,Le Duc,Painting,14
1840,Artaria (Henry),A Landscape with Cattle and Figures,T. Sidney Cooper,Painting,60
1840,Artaria (Henry),The Virgin and the Infant; a capital specimen,Lodovico Caracci,Painting,73
1840,Christie's,Adam and Eve mourning over the dead body of Abel,V. Der Werff,Painting,14
1840,Christie's,"A landscape, with four peasants on a road, and a figure driving cows up a road towards a village",Teniers,Painting,51
1840,Christie's,Fishing-boats and ships in a breeze,Powell,Painting,5
1840,Christie's,"A chymist seated at a table, in conversation with a young man near a furnace",Slingelandt,Painting,13
1840,Christie's,"A small view on the Rhine, with boats and figures -- and the companion",Greffier,Painting,22
1840,Christie's,"Figures with sledges, on a frozen canal",De Koning,Painting,13
1839,Christie's,"A woody landscape, with figures, by Teniers painted",Artois,Painting,21
1839,Christie's,A battle-piece; very spirited,Borgognone,Painting,13
1839,Christie's,A conversation champêtre; a beautiful subject,Watteau,Painting,31
1836,Christie's,"Sampson and Dalilah; a splendid sketch, full of spirit.  From the Collection of the Duke of St. Alban's",Van Dyck,Painting,16
1837,Christie's,Titian's Daughter,Titian,Painting,26
1837,Christie's,"A village fete, with numerous figures",Teniers,Painting,14
1837,Christie's,"A romantic rocky landscape, with two female peasants, with cattle and sheep in the foreground; very highly finished",De Heusch,Painting,18
1836,Christie's,"Portraits of Van Goyen, the painter, and his family",F. Hals,Painting,31
1836,Christie's,A Rocky Landscape and Waterfall,J. Ruysdael,Painting,80
1836,Christie's,A Winter Scene in Holland,"Isaac Ostade, 1644",Painting,42
1836,Christie's,Cows and Sheep in a landscape,"Adrian v. de Velde, 1670",Painting,112
1836,Christie's,"A Calm; fishing-boats, and a man-of-war at anchor; painted by M. Schotel for Sir C. B. in 1828",Schotel of Dort,Painting,69
1836,Christie's,View in Holland by moonlight; from the collection of M. Saportas of Amsterdam,A. van der Neer,Painting,116
1836,Christie's,"The Companion Picture; a retired village, with a rustic bridge in the foreground; from the Hogguer collection.  See Smith's Catalogue Raissonné, Part VI. p. 127",Hobbema,Painting,210
1836,Christie's,Sheep in a stable,A. Cuyp,Painting,30
1805,Christie's,The Holy Family,Titian,Painting,39
1805,Christie's,A View in Rome,Lingleback,Painting,9
1805,Christie's,The Virgin and Child attended by Saints,Mazzolino,Painting,21
1805,Christie's,The Sacrifice of Iphigenia and 1 other,Riley,Painting,2
1805,Christie's,"Landscape, with Cephalus and Procris",Poussin,Painting,9
1805,Christie's,Judith with the Head of Holofernes,Guercino,Painting,6
1805,Christie's,Venus and Cupid,V. Castelli,Painting,2
1836,Foster (Edward),"A cabinet Landscape and Figures, with winding road and view of a distant country",Wynants,Painting,20
1836,Christie's,"A landscape, with peasants reposing in the shade of a tree; from Lord Gwydir's collection",Swaneveldt,Painting,25
1836,Christie's,A view in Amsterdam; painted with admirable effect,V. der Heyden,Painting,38
1840,Christie's,"A calm, with fishing-boats; and a breeze; a pair of cabinet specimens, in a mahogany case",W. Van de Velde,Painting,32
1838,Christie's,"A harbour-scene, with a man-of-war and other vessels and boats -- calm; coloured in a warm tone","De Bast, 1829",Painting,13
1837,Christie's,"Indulgence; the well-known engraved picture, admirably painted",Kidd,Painting,29
1837,Christie's,Cleopatra on the Cydnus; a beautiful specimen,"Etty, R.A.",Painting,19
1837,Christie's,"Interior of the cathedral at Antwerp, looking towards the nave, with figures by Franks",P. Neefs,Painting,33
1837,Christie's,The poachers' snare; the original engraved picture,Kidd,Painting,17
1837,Christie's,"A lady in a satin dress seated playing the guitar near a window, over which is thrown a rich drapery",E. Van der Neer,Painting,14
1837,Christie's,"A landscape, with a cottage surrounded by trees, and figures on a road",Naysmith,Painting,27
1837,Christie's,"Le marche conclu; interior of a stable, with three peasants in earnest conversation; capitally painted",Teniers,Painting,15
1838,Yates (George),"Portrait of a Child.  (By Tiziano, born 1477; died 1576.)  From the Strozzini Palace, in Florence",Tiziano,Painting,300
1803,Christie's,"The Entombing of Christ, a well composed and fine Picture",Palma,Painting,43
1803,Christie's,A Venetian Nobleman,Titian,Painting,19
1803,Christie's,"A Musical Conversation, highly finished",Wythmans,Painting,32
1803,Christie's,"The Judgement of Paris, a capital and richly coloured Picture",P. Veronese,Painting,63
1805,Christie's,St. Anthony of Padua holding in his Arms the Infant Jesus; an elegant specimen  [from the Barberini Palace ... in high Preservation],Guercino,Painting,70
1805,Christie's,"The Companion, View on the Bank of a River  [from the Barberini Palace ... in high Preservation]",Tempesta,Painting,12
1805,Christie's,An Angel in the Act of Prayer; a Countenance full of sweet Expression:  truly capital  [from the Barberini Palace ... in high Preservation],Guercino,Painting,47
1805,Christie's,"Portrait of Abramo Federici, with his Son by his Side; painted with great Truth:  a curious Specimen of this Master, whose works are unknown in this Country  [from the Barberini Palace ... in high Preservation]","Fr. Apollodoro, detto di Porcia",Painting,57
1805,Christie's,Portrait of a Man with a Hat and Feather; an animated and finely coloured Picture  [from the Barberini Palace ... in high Preservation],Giorgione,Painting,30
1805,Christie's,A Landscape and Cattle with Shepherds drinking at a Fountain -- a spirited and perfect Picture,N. Berchem,Painting,35
1805,Christie's,The Madona and Child -- very fine,A. Caracci,Painting,16
1805,Christie's,A Conversation -- a charming cabinet jewel,G. Netcher,Painting,34
1805,Christie's,"Dutch Boors playing at Cards -- painted in his clear silvery tone, and touched with great delicacy and spirit",D. Teniers,Painting,173
1805,Christie's,An Interior with Boors Regaling -- equal to Ostade,Du Sart,Painting,23
1805,Christie's,A Landscape and Figures -- a fine Specimen of these scarce Masters,Verboom,Painting,30
1805,Christie's,A beautiful Italian Scene with Figures -- equal to G. Poussin,F. Bolognese,Painting,18
1805,Christie's,"The Creation of Eve -- the Composition, Drawing, and Colouring of this fine Picture, stamp it of his best time",L. Caracci,Painting,220
1838,Christie's,"A general, with his staff, examining a prisoner of war in a woody landscape; capitally painted",Hughtenborg,Painting,34
1838,Christie's,"Interior of a Flemish cathedral, with figures admirably introduced by old Francks",P. Neefs,Painting,43
1838,Christie's,"A romantic landscape, with classical figures",Domenichino,Painting,6
1802,Christie's,An Interior of a Dutch Dairy,M. Zoorgh,Painting,13
1802,Christie's,Caligula's Bridge from Baia to Putcoli,C. Bonario,Painting,29
1802,Christie's,"A View of St. Peter's, at Rome",Canaletti,Painting,40
1804,Christie's,"A Landscape with Figures passing the Po, and a distant View of St. Peter's.  A singular Picture",Guercino,Painting,29
1804,Christie's,"Love pleading before the Assembly of the Gods, an early sketch",Corregio,Painting,15
1804,Christie's,A Pair of small Landscapes,P. Brill,Painting,20
1804,Christie's,"A grand and spirited Sketch, representing the Holy Family, St. Christopher, Sebastian, and other Saints, the original Study for the large Picture of the same Subject, which was sold by Francesco Duke of Modena, to the Gallery of Dresden",Titian,Painting,199
1804,Christie's,"Christ washing the Apostles Feet.  For Sublimity of Characters, Composition and Design, equal to the celebrated Last Supper, or to the Finest Works of this Master",Leo da Vinci,Painting,294
1840,Christie's,"Under the shade of some noble trees peasants are passing a ford with sheep and goats, a man is leading a cow, and a female following with a lamb under her arm, another figure is following in the rear.  From the collection of Mons. Robit",Adrian Van De Velde,Painting,798
1840,Christie's,"The Magdalen in a green and red dress, holding the alabaster vase",L. Da Vinci,Painting,63
1840,Christie's,"The Assumption of the Virgin, who is borne by angels and cherubim",Annibale Carracci,Painting,220
1840,Christie's,"Le Depart des Cavaliers.  A party of cavalry soldiers with three horses preparing to depart from at suttler's booth erected near the centre of a barren landscape at the side of an old tree; in the middle of the group is a beautiful white charger with a soldier on the further side of it, another horse stands close by, laden with baggage and arms, and a third on the opposite side is mounted by a man with his hat in his hand; a trumpeter, an ensign bearing a  flag, and a soldier on one knee drinking a parting glass, in the foreground, other figures in the distance.  From the collections of Le Marquis de Pange, M. Montribloud, and M. Folozan.  Engraved by Moyreau.  See Smith's Catalogue.",Wouvermans,Painting,435
1840,Christie's,The Holy Family; small,Schedone,Painting,36
1840,Christie's,"The Reposo of the Holy Family, with the Marriage of St. Catherine, and a glory of angels above; upright",Francesco Mola,Painting,43
1840,Christie's,"The Magdalen in Contemplation; she is clad in a red, yellow, and blue drapery, resting on a stone pedestal, on which the vase of ointment stands",Domenichino,Painting,698
1840,Christie's,"A Dead Peacock, suspended from a tree, with grouse and other birds on a stone slab, in a garden scene, surrounded by shooting implements",Weenix,Painting,21
1840,Christie's,"Rembrandt's Wife represented in a profile view, with both hands placed on her waist in front.  She has on a large crimson silk hat adorned with feathers, and is attired in an elegant dress, with jewels and other ornaments at the neck and bosom.  From the collection of M. Robit.  See Smith's Catalogue.",Rembrandt Van Rhyn,Painting,142
1840,Christie's,"The Holy Family; a composition of four figures, as large as life, seen to the knees.  The Virgin is seated in the middle, with the infant Saviour in her arms, whose feet she has just finished washing in a basin; his head reclines on his mother's breast, and his attention is directed to an angel, who is presenting him a basket of fruit; St. Joseph (seen in a profile view) is on the opposite side.  The back-ground represents a landscape.  This capital picture is stated to have been painted for a M. Grouin, in whose family it continued until it was purchased for the Presle Collection, from whence it was transferred to.  The collections of M. Robit, M. Wouter, Valckenier, Mr. Bryan, and G. Hibbert, Esq.  Engraved by J. Ward.  See Smith's Catalogue.",Rubens,Painting,945
1840,Christie's,"A group of Flowers elegantly disposed in a glass vase, in which the window of an apartment is reflected; the companion","Rachel Ruysch, 1719",Painting,210
1840,Christie's,Head of St. John; the companion,Landi,Painting,13
1840,Christie's,"A Storm with vessels stranded, near the Pharos, and harbour gate of Genoa; figures on a ledge of rocks in the foreground, are occupied in saving the crew; men in a boat are endeavouring to make the harbour.  A heavy clouded sky charged with lightning, gives grand effect to the scene",Vernet,Painting,157
1836,Foster (Edward),Landscape and Figures,A. Both,Painting,25
1836,Foster (Edward),Boy's Head; a study,Correggio,Painting,36
1836,Foster (Edward),"A Frost Piece, numerous Figures on the Ice",Vander Neer,Painting,78
1836,Foster (Edward),View of Conway Castle,Gainsborough,Painting,19
1836,Foster (Edward),Elizabeth teaching the Infant Saviour,Alonzo Cano,Painting,26
1836,Foster (Edward),Portrait of Miss Lundens; a sketch,P.P. Rubens,Painting,81
1836,Foster (Edward),Clearing up after a Storm,John Wilson,Painting,45
1836,Foster (Edward),Domestic Fowls in a Landscape,Hondikooter,Painting,36
1836,Foster (Edward),St. John,Parmegiano,Painting,30
1836,Foster (Edward),Virgin and Child.  Lately from Spain,Murillo,Painting,130
1836,Foster (Edward),Landscape and Figures,F. Moucheron,Painting,35
1836,Foster (Edward),Philosopher in his Study,Rembrandt,Painting,34
1836,Foster (Edward),Landscape and Figures bathing,Isaac Ostade,Painting,90
1802,Christie's,"A Pair of Views on the Rhine   Two beautiful and extensive Prospects, enriched with a variety of Figures, Villages and Buildings; Pictures undoubtedly of the First Class of this Admired Master",H. Sachtleven,Painting,40
1802,Christie's,"A Gentleman's Portrait, much in the style of Van Dyck",Mireveldt,Painting,14
1802,Christie's,A Boy blowing Bubbles,Netzcher,Painting,27
1802,Christie's,"A warm pleasing Landscape, with a Ruin, Cattle and Figures",Cuyp,Painting,25
1802,Christie's,"A View on the Rhine.  A noble extensive Prospect, exhibiting a Variety of Villages, Castles, Buildings and the Shipping employed on that River:  the whole a lively interesting Scene, executed with an accurate smart pencil",Greffier,Painting,42
1802,Christie's,"A Boy Fishing.  A pleasing living arch expressive Countenance, it is at a Moment when he is supposed to have got another Bite; painted with great Spirit, and finished equal to his Master, Gerard Douw",Slingelandt,Painting,76
1839,Phillips (Harry),"A Woman cleaning a haddock; a charming specimen -- from the Fonthill Collection -- vide Smith, No. 60",Metzu,Painting,231
1840,Christie's,"Portrait of a noble Venetian lady, in a green dress, with a turban, holding a fan in her hand",Titian,Painting,25
1837,Christie's,"An Engagement of Cavalry near a fortified Town, with mountainous distance; well composed and very spirited",Wouvermans,Painting,13
1837,Christie's,"A Cavalier playing the Guitar, and a lady with a music book in a garden, a group of figures in the distance; a brilliantly coloured and exquisite specimen",Watteau,Painting,90
1837,Christie's,"An Interior, with a woman seated lighting a pipe, and a man with a jug and glass; full of character",Teniers,Painting,23
1837,Christie's,"A View in Italy, with figures and cattle; this exquisite work is described in Smith's Catalogue, page 237",K. Du Jardin,Painting,71
1837,Christie's,"Italian Buildings on a height above a river, which falls in a cascade, and figures under a noble tree in the foreground; a picture of high quality",Zuccarelli,Painting,16
1840,Christie's,"A castle, with a bridge across a river",Deckar,Painting,17
1840,Christie's,"A landscape with peasants and cattle, in the manner of Berghem",V. der Bent,Painting,14
1840,Christie's,A courtship,Jan Steen,Painting,2
1840,Christie's,Holy Family,A. del Sarto,Painting,16
1805,Christie's,"A French Family, Wilborts; and St. Simon",Jordaens,Painting,1
1805,Christie's,"View in Flanders, a fine specimen",Artois,Painting,6
1805,Christie's,"A French Family, Wilborts; and St. Simon",Wilborts,Painting,1
1848,Christie's,Christ breaking the Gates of Death and rescuing the Souls in Purgatory -- a truly classical work of this great master.,L. Orsi da Novellara,Painting,17
1848,Christie's,A Lady in a rich Dress holding an alabaster Vase in her Hand.,Luini,Painting,42
1848,Christie's,The Landlord and his Guest.,Fraser,Painting,16
1848,Christie's,"Van Dyck as Icarus, Daedalus tying on his Wings:  -- this capital work is from the collection of John Knight, Esq., and was exhibited in the British Gallery in 1815.",Van Dyck,Painting,66
1836,Foster (Edward),Warm Landscape.,Van Kessell,Painting,18
1839,Phillips (Harry),The Departure of Lot,A. Veronese,Painting,28
1839,Phillips (Harry),The Education of Bacchus by the Carybanies,L. Cangiagio,Painting,15
1839,Christie's,The Infant placing a wreath of flowers on the head of the Virgin,Zurbaran,Painting,39
1839,Christie's,"The Dogana, at Venice",Guardi,Painting,26
1839,Christie's,The Magdalen,F.M. Rondani,Painting,16
1839,Christie's,"St. Mark's Place, with the Church, and groups of figures",Canaletti,Painting,71
1839,Christie's,Portrait of Philip IV,Velasquez,Painting,13
1839,Christie's,Portrait of a Lady in a Black Dress -- whole length,Terburg,Painting,21
1839,Christie's,Portrait of a Lazarone,Ribera,Painting,13
1839,Christie's,"The Stadt-House at Haerlem, with figures, by A.V. de Velde",Berkheyden,Painting,23
1839,Christie's,"St. Peter and St. John, in adoration before the Deity, three Infant Angels supporting the Universe",Rubens,Painting,105
1839,Christie's,"A Calm, with boats near the Dutch coast",W. Van de Velde,Painting,157
1839,Christie's,"A Landscape, with a Palace reflected in a lake",N. Poussin,Painting,173
1801,Christie's,"Six original Heads, Cartoons, for the celebrated Picture of the Last Supper -- very capital -- from Sir W. Hamilton's Collection",Leo. da Vinci,Painting,22
1801,Christie's,"Susannah and the Elders, capital",Paul Veronese,Painting,25
1839,Christie's,"Judge Jeffries, in his robes",Sir P. Lely,Painting,17
1839,Christie's,"A landscape, with a hawking party",Hughtenberg,Painting,17
1839,Christie's,"Charles I. on horseback, with the Marquis of Hamilton; a small repetition by some pupil of Van Dyck",Van Dyck,Painting,37
1839,Christie's,"A sea-piece, with vessels and boats; painted with capital effect",V. der Capella,Painting,13
1839,Christie's,"A cottage with figures, and a white horse",Isaac Ostade,Painting,20
1802,Skinner and Dyke,"A Departure  [The composition is of eleven figures, and seven horses, represented in one of those large inn yards peculiar to Holland and Flanders; they are generally half exposed and half covered, sheltering a trough for the accomodation of the horses of those passengers who put up, at their inns ... On the left, three horses are attached to the manger, and near them the hostler of the inn is pointing out a quantity of hay, in the top of the range, to a gentleman standing by him, in a red cloak; nearer, a little boy is wheeling a barrow, into which he has put an infant.  In the centre of the picture, a lady dressed in blue, and mounted on horseback, is on the point of setting out; she is stopping only for a gentleman who is putting on his spurs, whilst a groom holds his beautiful white horse; in that part of the yard, which is uncovered, a beggar, supported by crutches and a wooden leg, is waiting for them, and already extends his hat for charity.  On the right side, a servant maid is getting water from a well, in one corner of the yard, near which two travellers, on horseback, are leaving the inn through a back gateway, opening to a superb landscape]",Wouvermans,Painting,31
1802,Skinner and Dyke,"The Inside of a Stable  [In the interior, is seen a young girl in a red petticoat, and with a basket on her arm, departing from the stable, and she is followed by a young man who carries his crook on his shoulder; four sheep are behind them, and above, a cock and some hens are perched; there is also a milk-pan turned down on the ground, with some other utensils]",Cuyp,Painting,63
1802,Skinner and Dyke,"A March of Cavalry  [The composition presents fifteen figures and fourteen horses.  In the centre of the picture, is seen an officer mounted on a white charger, and by his side, another who has alighted to open his portmanteau.  On the foreground, two cavaliers are extended on the grass, whilst to the right, another upon his horse, holds their's by the bridles.  On the second ground, the horses are already in motion, and announcing the filing off of the corps; and we see on the third, that the march is already commenced]",Cassanova,Painting,21
1802,Skinner and Dyke,"A Landscape with the View of a Canal and Figures by Adrian Vanderveldt  [It represents a canal bordered by trees, and ornamented by buildings, executed with a magic pencil, and which reflected in it's clear transparent waves, and united to a beautiful sky, produces the most enchanting effect.  It is besides, embellished with about twenty figures by Andrian Vandervelde]",Vanderheyden,Painting,37
1802,Skinner and Dyke,A Landscape with Horses and Figures.  (Omitted in the Descriptive Catalogue.),Cuyp,Painting,38
1802,Skinner and Dyke,A Fruit Piece,Van Huysum,Painting,31
1802,Skinner and Dyke,"A Landscape and Figures  [it possesses neither ... buildings, nor ... ruins ... unadorned either by ... rocks or majestic mountains, rivers or bridges, cascades or cattle ... but merely with a few trees and a chaste natural sky]",Hobbima,Painting,189
1802,Skinner and Dyke,"The Arrival of Edward the Vth. into London  [The composition offers us five figures, large as life.  -- The young Monarch, just arrived in London, is receiving the Duke of York, his brother, an infant of seven years old -- they are both in the front of the picture embracing.  Behind the King is the Duke of Glocester, his uncle,* [footnote: It is the portrait of Mr. Kemble, who sat for it to the Artist] in armour, and who is leaning on the throne; the faithful Lord Hastings, the Chamberlain, is near him:  and to the right, we see the good and honest, but too weak and credulous Cardinal Bourchier, extending his hands to bless these young Princes, of whose ruin he became the cause] [As Mr. Northcote had painted this subject and the preceding, with much success, for the gallery of Messrs. Boydell, we requested him to repeat the subjects for this collection, which he has done, with alterations]",Northcote,Painting,40
1802,Skinner and Dyke,"A Landscape with Cattle and Figures  [We are here presented with a mass of rocks, on some of which, a few plots of pasture ground are found, with scattered trees and verdure.  Water gushes from the bosom of some rocks, on the right, forming a cascade, which is received into a romantic bason; at their base, some sheep and goats, are dispersed over the front of the picture; and on the left, a woman is milking a goat, while a girl carries away the milk of the others, in an earthen pan; a clump of trees is in the distance on the left, and in the centre, a peasant is sitting surrounded by his sheep and goats]",Berchem,Painting,14
1802,Skinner and Dyke,"St. Joseph in his last Moments  [This picture represents St. Joseph in extreme old age, and at his last moments; he is in bed, listening with the greatest attention, to our Saviour who is seated near consoling and preparing him for eternity.  The virgin is also there, afflicted and weeping at the approaching dissolution of her husband.  Angels inhabit with them, that holy abode, from which all appearance of luxury is banished, and one of them is kneeling at the foot of the bed, whilst two others, with joined hands, and impressed with awe and respect, are standing behind him.  On the right, a white cloth covers a table, on which some fruits are spread; and towards the top, a choir of angels are floating on a cloud, united in prayer]",Stella,Painting,14
1802,Skinner and Dyke,"A Landscape, View of a Mountainous Country  [in the centre of it, is a cross erected in memory of some unfortunate man murdered near the spot; there are some figures, and in a bye-road in the fore-part of the picture, a robber is attacking a passing traveller, whose dog runs on before him]",Teniers,Painting,13
1802,Skinner and Dyke,"The Tribute Money  [The composition of this picture, is of seven figures as large as life.  On the sea-shore which is scattered with shells, the disciples are standing, except Peter, who is seen in profile, in the fore-part of the picture; he seems to have just drawn the net, and continues on his knee, on the ground, his head turned to look at the piece of money which one of the disciples has just taken out of the fish he holds in his left hand.  The blue drapery in which this last is clad, has partly fallen from his shoulders, so that part of his body is uncovered; behind him a young woman dressed in red, carrying a basket of fish, on her head, stops through curiosity.  In the mean time the other disciples are eagerly pressing forward, to examine the coin, and manifest equal admiration and surprize at the new miracle wrought by our Saviour.  We plainly recognize the portrait of Rubens in the second figure, on the right hand, but ... we frankly confess that we do not consider it as entirely the production of Rubens's pencil]",Rubens,Painting,65
1802,Skinner and Dyke,"A Landscape and Figures  [A Dutch gentleman and his lady, attended by a page, are taking a walk, and on the declivity of a hill crowned with trees, a beggar is asking charity. He is seated with his dog, and barefooted, with a red cap on his head, and his hat extended.  A cart, filled with people, appears to be driving towards a distant village, the steeple of which, is seen finely detached from a sky lowering with rain]",Isaac Ostade,Painting,14
1802,Skinner and Dyke,"Mary de Medicis  [We know ... almost every female portrait of this master's hand, is ... called the wife of Rubens ... It was under that denomination this was sold us ... She is seen half-length, as large as life, and full face; her head is adorned with a diadem of precious stones, with large pearls in her ears; -- she is dressed in the fashion of the sixteenth century, when they wore those large puckered sleeves ... and ... that raised ruff which left part of the bosom uncovered.  She has on her neck, a row of pearls, and two others fastened below her shoulders, falling with elegance on her breast -- in her bosom is seen a rose of the most precious stones, and her girdle is of the like jewels intermixed with pearls.  She holds a fan in her hand ... A crimson curtain is in the background of this superb work]",Rubens,Painting,105
1802,Skinner and Dyke,"A Landscape and Figures [in one of those fine summer days ... The right of the picture, is occupied by three cows, two of which are lying down, whilst the other is standing under a tree, to shelter herself from the rain which begins to fall:  a fourth cow, spotted yellow and white, on this side, towards the middle of the picture, is also standing near her calf which is lying down.  The obscurity of the sky and agitation of the trees, upon which the wind blows with fury, announces the violence of the storm.  Upon the right of the picture, a young girl is thrown down by the wind, with a basket of eggs she was carrying, and they are scattered on the grass, whilst a man, whose hat is carried away by the wind, assists to raise her.  On the second ground, a lady mounted upon a white horse, accompanied by a gentleman, is riding with great speed, followed by a servant and a dog out of breath.  On the third ground, we distinguish an edifice and some trees, but the rain and obscurity permit not the eye to penetrate into the distance]",Loutherbourg,Painting,29
1802,Skinner and Dyke,"A Sea Piece  [When the sea piece ... was brought from Holland, into this country, it was in a case, had an ebony frame, and was very dirty. The proprietor deposited it at Doctor Brag's, of Kensington ... This represents the sea extremely calm ... We see in this, two fishing boats, filled with a variety of figures, whilst a Dutch fisherman, in boots, is advancing on the shore.  At a distance, a number of boats are moving off, while the right of the picture, shews us two frigates at anchor]",De Vlieger,Painting,18
